"no","before(verbatim)","after(sugesti)"
"11","Penelitian ini dibatasi pada pengembangan dan pengujian media pembelajaran  berbasis web microlearning yang terintegrasi dengan Teknik Feynman. Variabel dalam penelitian ini mencakup:","Penelitian ini dibatasi pada pengembangan dan evaluasi media pembelajaran berbasis web microlearning yang terintegrasi dengan Teknik Feynman. Variabel dalam penelitian ini mencakup:"
"12","Variabel bebas: media pembelajaran berbasis web microlearning yang mengintegrasikan tahapan Teknik Feynman sebagai strategi pembelajaran.","Variabel bebas: media pembelajaran berbasis web microlearning yang mengintegrasikan tahapan Teknik Feynman sebagai strategi pembelajaran."
"13","Variabel proses: kemampuan metakognitif dalam keterampilan berbicara mahasiswa, yang mencakup conceptualisation, formulation, articulation, self-monitoring, dan self-evaluation.","Variabel proses: kemampuan metakognitif dalam keterampilan berbicara mahasiswa, yang mencakup konseptualisasi, formulasi, artikulasi, pemantauan diri, dan evaluasi diri."
"14","Variabel terikat: keterampilan berbicara mahasiswa pada performa lisan akademik, yang dibatasi pada pengorganisasian ide, kejelasan penyampaian, dan strategi komunikasi sesuai konteks audiens.","Variabel terikat: keterampilan berbicara mahasiswa dalam performa lisan akademik, yang diukur berdasarkan aspek-aspek pada rubrik keterampilan berbicara."
"15","Model penelitian ini menempatkan kemampuan metakognitif sebagai konstruk proses yang menyertai penggunaan media dan mendukung peningkatan keterampilan berbicara. Konteks penelitian dibatasi pada mahasiswa Program Studi Pendidikan Bahasa dan Sastra Indonesia di salah satu perguruan tinggi di Indonesia.","Model penelitian ini menempatkan kemampuan metakognitif sebagai konstruk proses pedagogis yang menyertai penggunaan media dan mendukung peningkatan keterampilan berbicara. Posisi tersebut tidak dimaknai sebagai mediator statistik karena penelitian ini tidak melakukan analisis mediasi. Konteks penelitian dibatasi pada mahasiswa Program Studi Pendidikan Bahasa dan Sastra Indonesia di salah satu perguruan tinggi di Indonesia."
"16","Menguji kelayakan media web microlearning berbasis Teknik Feynman berdasarkan penilaian ahli dan respons pengguna.","Mengevaluasi kelayakan media web microlearning berbasis Teknik Feynman berdasarkan penilaian ahli dan respons pengguna."
"17","Menguji efektivitas media web microlearning berbasis Teknik Feynman terhadap peningkatan kemampuan metakognitif dan keterampilan berbicara mahasiswa.","Mengevaluasi efektivitas media web microlearning berbasis Teknik Feynman dalam meningkatkan kemampuan metakognitif dan keterampilan berbicara mahasiswa."
"18","Data literatur diperoleh dari database Google Scholar dan Scopus dengan rentang tahun 2015–2025 menggunakan kata kunci pencarian “microlearning”, “Feynman technique”, “metacognitive skills”, “speaking skills” dan “Indonesian language education”. Berdasarkan pencarian tersebut, diperoleh sebanyak 800 dokumen relevan. Data kemudian diekstraksi dan dianalisis menggunakan perangkat lunak VOSviewer untuk memetakan hubungan tematik antar penelitian. Berdasarkan hasil pemetaan tersebut, diperoleh tiga bentuk visualisasi, yaitu:","Data literatur diperoleh dari database Google Scholar dan Scopus dengan rentang tahun 2015–2025 menggunakan kata kunci pencarian “microlearning”, “Feynman technique”, “metacognitive skills”, “speaking skills” dan “Indonesian language education”. Berdasarkan pencarian tersebut, diperoleh sebanyak 800 dokumen. Data kemudian diekstraksi dan dianalisis menggunakan perangkat lunak VOSviewer untuk memetakan hubungan tematik antarkata kunci. Hasil analisis disajikan melalui visualisasi jaringan pada Gambar 2.4."
"19","Visualisasi bibliometrik ini di atas merupakan hasil analisis terhadap 800 dokumen dari Google Scholar dan Scopus (2015–2025), menggunakan kata kunci seperti “microlearning”, “Feynman technique”, “metacognitive skills”, “speaking skills” dan “Indonesian language education”. Analisis dilakukan dengan VOSviewer dan menghasilkan enam klaster tematik utama yang saling terhubung:","Visualisasi bibliometrik pada Gambar 2.4 merupakan hasil analisis terhadap 800 dokumen dari Google Scholar dan Scopus pada rentang tahun 2015–2025 dengan kata kunci “microlearning”, “Feynman technique”, “metacognitive skills”, “speaking skills” dan “Indonesian language education”. Analisis menggunakan VOSviewer menghasilkan enam klaster tematik yang saling berhubungan."
"20","Pertama, penelitian yang dilakukan oleh  menunjukkan bagaimana penggunaan aplikasi mobile berbasis kecerdasan buatan (AI), yakni Liulishuo, dapat meningkatkan keterampilan berbicara mahasiswa EFL di Tiongkok. Menggunakan desain kuasi-eksperimental selama 10 minggu, kelompok eksperimen diberikan akses terhadap aplikasi Liulishuo, sedangkan kelompok kontrol hanya menggunakan WeChat. Hasil menunjukkan bahwa kelompok eksperimen mengalami peningkatan signifikan dalam kelancaran berbicara dan pelafalan. Namun, aspek kosa kata dan tata bahasa belum menunjukkan perbedaan signifikan secara statistik. Penelitian ini memberikan kontribusi penting bahwa penggunaan teknologi berbasis AI yang menyajikan latihan berbicara interaktif dan umpan balik otomatis dapat memfasilitasi keterampilan berbicara mahasiswa dalam konteks pembelajaran bahasa asing.","Pertama, penelitian Mingyan et al. (2025) menunjukkan bahwa penggunaan aplikasi mobile berbasis kecerdasan buatan, yaitu Liulishuo, dapat meningkatkan keterampilan berbicara mahasiswa EFL di Tiongkok. Menggunakan desain kuasi-eksperimental selama 10 minggu, kelompok eksperimen diberikan akses terhadap aplikasi Liulishuo, sedangkan kelompok kontrol hanya menggunakan WeChat. Hasil menunjukkan bahwa kelompok eksperimen mengalami peningkatan signifikan dalam kelancaran berbicara dan pelafalan. Namun, aspek kosakata dan tata bahasa belum menunjukkan perbedaan signifikan secara statistik. Penelitian ini memberikan bukti bahwa teknologi berbasis kecerdasan buatan yang menyediakan latihan berbicara interaktif dan umpan balik otomatis dapat memfasilitasi keterampilan berbicara mahasiswa dalam konteks pembelajaran bahasa asing."
"21","Selain pengembangan, adapun kajian terkait pemanfaatan media oleh  yang mengkaji efektivitas penggunaan media boneka tangan dalam meningkatkan keterampilan berbicara anak di jenjang usia dini. Penelitian tindakan kelas ini menunjukkan peningkatan hasil belajar dari rata-rata 61,9% menjadi 85,9% setelah intervensi. Meskipun konteks dan jenjang pendidikan berbeda, temuan ini menekankan bahwa media pembelajaran yang dirancang untuk menarik atensi dan mendorong interaksi verbal mampu memberikan hasil yang signifikan terhadap keterampilan berbicara. Namun, pendekatan yang digunakan masih berbasis media konvensional dan belum mengintegrasikan unsur digital atau strategi berpikir tingkat tinggi seperti metakognitif.","Selain media digital, Habibi et al. (2022) mengkaji efektivitas penggunaan media boneka tangan dalam meningkatkan keterampilan berbicara anak usia dini. Penelitian tindakan kelas tersebut menunjukkan peningkatan hasil belajar dari rata-rata 61,9% menjadi 85,9% setelah intervensi. Meskipun konteks dan jenjang pendidikannya berbeda, temuan ini menunjukkan bahwa media yang menarik perhatian dan mendorong interaksi verbal dapat mendukung keterampilan berbicara. Namun, media yang digunakan masih bersifat konvensional dan belum mengintegrasikan teknologi digital atau strategi metakognitif."
"22","Penelitian dilaksanakan di Program Studi Pendidikan Bahasa dan Sastra Indonesia, Institut Keguruan dan Ilmu Pendidikan Siliwangi. Lokasi ini dipilih karena sesuai dengan konteks penelitian, tempat diidentifikasinya masalah dalam kurikulum pembelajarannya menerapkan berbasis digital terpadu.","Penelitian dilaksanakan di Program Studi Pendidikan Bahasa dan Sastra Indonesia, Institut Keguruan dan Ilmu Pendidikan Siliwangi. Lokasi ini dipilih karena menjadi konteks ditemukannya permasalahan keterampilan berbicara dan kemampuan metakognitif mahasiswa serta telah memanfaatkan perangkat digital dalam pembelajaran."
"23","Subjek penelitian disesuaikan dengan kebutuhan setiap tahap pengembangan dan pengujian produk. Subjek penelitian dibagi ke dalam validator ahli, peserta uji coba terbatas, peserta uji coba lebih luas, peserta uji lapangan, dan informan kualitatif.","Subjek penelitian ditetapkan sesuai dengan fungsi setiap tahap pengembangan dan pengujian produk. Subjek penelitian terdiri atas subjek analisis kebutuhan, validator ahli, peserta uji coba terbatas, peserta uji coba lebih luas, peserta uji lapangan, dan informan kualitatif."
"24","Validator dalam penelitian ini terdiri atas ahli materi dan ahli media. Ahli materi merupakan dosen atau pakar yang memiliki kompetensi pada bidang pembelajaran bahasa, keterampilan berbicara, dan substansi materi yang dikembangkan. Ahli media merupakan dosen atau pakar yang memiliki kompetensi dalam desain media pembelajaran digital, antarmuka, dan pengembangan media berbasis web.","Validator produk terdiri atas ahli materi, ahli media, dan ahli bahasa. Ahli materi merupakan dosen atau pakar yang memiliki kompetensi dalam pembelajaran bahasa, keterampilan berbicara, kemampuan metakognitif, atau substansi materi yang dikembangkan. Ahli media merupakan dosen atau pakar yang memiliki kompetensi dalam desain media pembelajaran digital, antarmuka, dan pengembangan media berbasis web. Ahli bahasa merupakan dosen atau pakar bahasa Indonesia yang memiliki kompetensi dalam ketepatan bahasa, keterbacaan bahan ajar, konsistensi istilah, dan kejelasan instruksi pembelajaran."
"25","Tahap ini bertujuan untuk memahami karakteristik mahasiswa yang menjadi target pengembangan media. Analisis dilakukan terhadap lima aspek utama, yaitu kebutuhan belajar, kemampuan awal, gaya belajar, hambatan belajar, dan kebutuhan media. Analisis kebutuhan belajar dilakukan melalui wawancara dengan dosen pengampu dan telaah kurikulum mata kuliah Keterampilan Berbicara. Tahap Analyze Learners dilakukan untuk mengidentifikasi karakteristik mahasiswa sebagai dasar pengembangan media. Analisis mencakup kebutuhan belajar, kemampuan awal, gaya belajar, hambatan belajar, dan kebutuhan media. Data diperoleh melalui wawancara dengan dosen pengampu, observasi kelas, telaah kurikulum, serta angket preferensi belajar mahasiswa. Pembacaan kebutuhan media juga merujuk pada studi awal peneliti tentang preferensi media digital mahasiswa Pendidikan Bahasa dan Sastra Indonesia (Primandhika et al., 2025).","Tahap Analyze Learners bertujuan mengidentifikasi karakteristik mahasiswa sebagai dasar pengembangan media. Analisis mencakup kebutuhan belajar, kemampuan awal, preferensi belajar dan media, hambatan belajar, serta kebutuhan fitur. Data diperoleh melalui wawancara dengan dosen pengampu, observasi kelas, telaah kurikulum, angket preferensi belajar mahasiswa, dan studi awal mengenai preferensi media digital mahasiswa Pendidikan Bahasa dan Sastra Indonesia (Primandhika et al., 2025)."
"26","Lembar validasi digunakan untuk mendapatkan penilaian dari ahli materi dan ahli media terhadap produk yang dikembangkan. VLembar validasi digunakan untuk memperoleh penilaian dari ahli materi dan ahli media. alidasi ini dilakukan untuk memastikan media pembelajaran memenuhi standar kelayakan.","Lembar validasi digunakan untuk memperoleh penilaian ahli terhadap kelayakan produk sebelum memasuki tahap uji coba. Validasi mencakup substansi materi, kualitas media, dan kualitas bahasa. Setiap instrumen menyediakan ruang komentar untuk mendokumentasikan saran perbaikan produk."
"27","Lembar validasi ini bertujuan untuk mengevaluasi kelayakan isi materi dalam media pembelajaran. Aspek yang dinilai pada instrumen ini adalah 1) kesesuaian materi dengan kurikulum yang berlaku di tempat penelitian 2) keakuratan konsep yang disampaikan 3) daya dorong materi untuk meningkatkan pengetahuan mahasiswa. Lembar validasi mencakup indikator kelayakan isi, penyajian dan kebahasaan, dengan skala Likert 1-5. Lembar. ","Lembar validasi ahli materi bertujuan mengevaluasi kelayakan substansi dalam media pembelajaran. Aspek yang dinilai mencakup kelayakan isi, ketepatan konsep, kesesuaian penyajian dengan karakteristik microlearning, keterpaduan Teknik Feynman, relevansi aktivitas dengan tujuan pembelajaran, dan dukungan materi terhadap keterlibatan mahasiswa. Penilaian menggunakan skala 1 sampai 4 dan dilengkapi ruang untuk saran perbaikan."
"28","Lembar validasi ini bertujuan untuk mengevaluasi kelayakan desain media pembelajaran dari aspek teknis dan estetika. Aspek yang dinilai pada instrumen ini secara garis besar mencangkup 1) bentuk media (tata letak, warna, tipografi) 2) kualitas media (ketahanan, kemudahan penggunaan) 3) fungsi media (kemampuan Lembar validasi berisi indikator-indikator kunci yang diukur menggunakan skala Likert 1-5 dan ruang untuk saran perbaikan. mempermudah pembelajaran, relevansi dengan materi). ","Lembar validasi ahli media bertujuan mengevaluasi kualitas teknis, antarmuka, dan fungsi pedagogis media pembelajaran. Aspek yang dinilai mencakup bentuk media, kualitas media, fungsi media dalam pembelajaran, dan kesesuaian penerapan prinsip microlearning. Penilaian menggunakan skala 1 sampai 4 dan dilengkapi ruang untuk saran perbaikan."
"29","Instrumen dinyatakan valid jika nilai V ≥ 0,78 (Azwar, 2016).","Koefisien Aiken’s V dihitung pada setiap butir penilaian dan dibandingkan dengan nilai kritis yang sesuai dengan jumlah validator serta jumlah kategori skala. Nilai tidak dibulatkan terlebih dahulu ketika digunakan untuk menetapkan keputusan validitas."
"30","Pada penelitian ini, lembar validasi ahli menggunakan skala 1 sampai 4 sehingga (l_o = 1) dan (c = 4). Butir atau aspek instrumen dinyatakan memiliki validitas isi yang memadai apabila nilai Aiken’s V mencapai (V 78). Validitas isi instrumen diperoleh dari penilaian 3 validator ahli materi dan 3 validator ahli media, sehingga perhitungan Aiken’s V dapat digunakan untuk membaca tingkat kesepakatan para ahli terhadap relevansi butir, aspek, maupun instrumen secara keseluruhan.","Pada penelitian ini, lembar validasi ahli menggunakan skala 1 sampai 4 sehingga skor terendah adalah 1 dan jumlah kategori skala adalah 4. Validitas isi dianalisis pada tingkat butir, sedangkan nilai per aspek dan keseluruhan instrumen disajikan sebagai ringkasan. Butir yang belum memenuhi nilai kritis direvisi berdasarkan skor dan komentar validator."
"31","Selain validitas isi, validitas empiris dilakukan khusus pada angket kemampuan metakognitif untuk memastikan bahwa butir-butir pernyataan terbukti sahih secara statistik dalam mengukur konstruk metakognitif. Pengujian validitas empiris dilakukan dengan mengorelasikan skor tiap butir dengan skor total (Pearson Product Moment). BValiditas empiris angket metakognitif diuji melalui korelasi item-total Pearson. Butir dinyatakan valid apabila nilai r-hitung lebih besar daripada r-tabel pada taraf signifikansi 5%. Hasil pengujian validitas empiris dilaporkan pada Bab IV.","Selain validitas isi, validitas empiris dilakukan pada angket kemampuan metakognitif untuk memastikan bahwa setiap butir mengukur konstruk yang dimaksud. Validitas empiris diuji melalui korelasi item-total Pearson. Butir dinyatakan valid apabila nilai r-hitung lebih besar daripada r-tabel pada taraf signifikansi 5%. Hasil pengujian validitas empiris dilaporkan pada Bab IV."
"32","Reliabilitas instrumen dilakukan untuk memastikan konsistensi hasil pengukuran. Angket kemampuan metakognitif diuji reliabilitasnya melalui perhitungan konsistensi internal menggunakan koefisien Alpha Cronbach (Cronbach, 1951). Reliabilitas angket metakognitif diuji menggunakan koefisien Alpha Cronbach. Instrumen dinyatakan reliabel apabila nilai koefisien memenuhi ambang reliabilitas yang ditetapkan. Hasil uji reliabilitas dilaporkan pada Bab IV.","Reliabilitas angket kemampuan metakognitif diuji melalui konsistensi internal menggunakan koefisien Alpha Cronbach (Cronbach, 1951). Instrumen dinyatakan reliabel apabila koefisiennya memenuhi ambang yang ditetapkan. Hasil uji reliabilitas dilaporkan pada Bab IV."
"33","Sementara itu, penilaian keterampilan berbicara dilakukan oleh 2 orang penilai (rater) independen untuk menjaga objektivitas skor. Untuk memastikan konsistensi skor di antara kedua penilai, rubrik keterampilan berbicara diuji melalui kesepakatan antarpenilai (inter-rater reliability) menggunakan uji Cohen’s Kappa (Cohen, 1960). Hasil pengujian kesepakatan penilai menunjukkan koefisien Cohen’s Kappa sebesar 0,82, yang berada pada kategori tingkat kesepakatan yang kuat (strong agreement). Dengan demikian, hasil pengukuran performa berbicara terbukti stabil dan dapat dipertanggungjawabkan meskipun dinilai oleh pihak yang berbeda.","Penilaian keterampilan berbicara dilakukan oleh dua penilai independen. Reliabilitas antarpenilai diperiksa untuk memastikan konsistensi pemberian skor. Apabila data dianalisis sebagai kategori ordinal pada setiap indikator, reliabilitas dihitung menggunakan weighted Cohen’s kappa. Apabila analisis menggunakan skor total yang bersifat kontinu, reliabilitas dihitung menggunakan intraclass correlation coefficient. Hasil pengujian reliabilitas antarpenilai dilaporkan pada Bab IV bersama jumlah rekaman yang dinilai, jenis koefisien, nilai koefisien, dan interval kepercayaan."
"34","Bab ini memaparkan temuan dan pembahasan penelitian pengembangan media web microlearning berbasis teknik Feynman untuk meningkatkan kemampuan metakognitif dalam keterampilan berbicara mahasiswa. Penyajian hasil penelitian disusun secara sistematis mengikuti alur penelitian pengembangan dengan model ASSURE yang dipadukan dengan desain mixed methods sequential explanatory. Pembahasan dimulai dari latar penelitian, proses pengembangan produk, hasil validasi, uji coba produk, uji lapangan, temuan kualitatif, integrasi temuan, hingga pembahasan yang menghubungkan hasil penelitian dengan kerangka teoretis.","Bab ini menyajikan temuan penelitian berdasarkan pertanyaan penelitian dan tahapan pengembangan produk. Penyajian dimulai dari karakteristik dan kebutuhan mahasiswa, rancangan media, proses pengembangan dan implementasi, evaluasi kelayakan, evaluasi efektivitas, temuan kualitatif, serta integrasi temuan kuantitatif dan kualitatif. Pembahasan menghubungkan setiap temuan dengan kerangka teoretis dan penelitian yang relevan."
"35","Data kemampuan awal diperoleh melalui observasi di kelas dan wawancara informal dengan mahasiswa serta dosen. Hasil observasi menunjukkan bahwa tingkat keterampilan berbicara dan kemampuan metakognitif mahasiswa bervariasi. Sebagian besar mahasiswa menunjukkan kesulitan pada lima dimensi kemampuan metakognitif dalam berbicara, yaitu (1) membangun tujuan dan isi pembicaraan (conceptualisation), (2) merumuskan penjelasan dan pilihan bahasa (formulation), (3) menjaga kejelasan penyampaian (articulation), (4) memantau performa saat berbicara (self-monitoring), serta (5) mengevaluasi kinerja berbicara setelah selesai (self-evaluation).","Data kemampuan awal diperoleh melalui observasi kelas dan wawancara informal dengan mahasiswa serta dosen. Hasil observasi menunjukkan adanya variasi keterampilan berbicara dan kemampuan metakognitif mahasiswa. Kesulitan yang teridentifikasi berkaitan dengan lima dimensi, yaitu membangun tujuan dan isi pembicaraan melalui konseptualisasi, merumuskan penjelasan dan pilihan bahasa melalui formulasi, menjaga kejelasan penyampaian melalui artikulasi, memantau performa saat berbicara melalui pemantauan diri, serta mengevaluasi kinerja setelah berbicara melalui evaluasi diri."
"36","Sebelum media diujicobakan kepada mahasiswa, produk terlebih dahulu melalui tahap validasi untuk memastikan bahwa substansi materi dan kualitas media telah layak digunakan dalam pembelajaran. Pada tahap ini, penilaian difokuskan pada dua sisi utama, yaitu substansi materi dan kualitas media. Karena itu, validator yang terlibat terdiri atas 3 ahli materi dan 3 ahli media. Penilaian dilakukan menggunakan skala 1 sampai 4, dengan kriteria 1 = kurang baik, 2 = cukup baik, 3 = baik, dan 4 = sangat baik.","Sebelum media diujicobakan kepada mahasiswa, produk terlebih dahulu melalui tahap validasi untuk mengevaluasi kelayakan substansi materi, kualitas media, dan kualitas bahasa. Validator terdiri atas ahli materi, ahli media, dan ahli bahasa. Penilaian menggunakan skala 1 sampai 4, dengan kriteria 1 = kurang baik, 2 = cukup baik, 3 = baik, dan 4 = sangat baik."
